event,parameter,model_a,model_b,corrected_S90
GW240618_071627,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.03650236721879068
GW240618_071627,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.01087059897588376
GW240618_071627,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.0473470441064465
GW240618_071627,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.026005891329864965
GW240618_071627,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.05322149010653287
GW240618_071627,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.02788103220297793
GW240618_071627,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.10226285415092304
GW240618_071627,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.08800282943741122
GW240618_071627,final_spin,IMRPhenomXPNR,NRSur7dq4,0.014365260085725745
GW240621_214041,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.021175628831776327
GW240621_214041,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.023612925801846284
GW240621_214041,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.04532192995701576
GW240621_214041,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.11917744763588498
GW240621_214041,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.027495125196613273
GW240621_214041,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.09406736121748448
GW240621_214041,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.018924927690591856
GW240621_214041,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.03539442567483302
GW240621_214041,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.05480410675825525
GW240621_214041,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.03324509136384903
GW240621_214041,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.022791681860391474
GW240621_214041,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.056862991407804354
GW240621_214041,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.11279097536534481
GW240621_214041,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.08010460077655393
GW240621_214041,final_spin,IMRPhenomXPNR,NRSur7dq4,0.03451208703994987
GW240703_191355,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.03255303336902958
GW240703_191355,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.002997594188449654
GW240703_191355,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.03589147962944739
GW240703_191355,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.13911560446846918
GW240703_191355,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.004409312915958488
GW240703_191355,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.13807316799636543
GW240703_191355,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.025131563747499103
GW240703_191355,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.0018575702020754757
GW240703_191355,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.027031188976134365
GW240703_191355,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.02297220681764787
GW240703_191355,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.009646461942738584
GW240703_191355,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.013374099336835553
GW240703_191355,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.09753305761975987
GW240703_191355,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.041654684806594934
GW240703_191355,final_spin,IMRPhenomXPNR,NRSur7dq4,0.060411866432301314
GW240716_034900,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.010826223055438627
GW240716_034900,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.046057432164358585
GW240716_034900,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.05658117856907279
GW240716_034900,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.0864830850067805
GW240716_034900,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.06410601466363247
GW240716_034900,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.022785500899163723
GW240716_034900,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.04854181598034542
GW240716_034900,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.09454023200058802
GW240716_034900,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.1451151636357957
GW240716_034900,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.061349155090940626
GW240716_034900,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.06898595867133406
GW240716_034900,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.1286255551314953
GW240716_034900,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.010006058101168735
GW240716_034900,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.07451221367484726
GW240716_034900,final_spin,IMRPhenomXPNR,NRSur7dq4,0.09168362983164884
GW240924_000316,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.05714421207072224
GW240924_000316,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.1539171401623575
GW240924_000316,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.09919293148477752
GW240924_000316,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.2141585694357818
GW240924_000316,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.1828679782919872
GW240924_000316,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.03444064247826231
GW240924_000316,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.007722232304973362
GW240924_000316,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.09540874276364929
GW240924_000316,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.10345470685827461
GW240924_000316,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.07020087626624529
GW240924_000316,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.17246237889433702
GW240924_000316,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.1059419336090767
GW240924_000316,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.1987746770915629
GW240924_000316,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.27134065453358985
GW240924_000316,final_spin,IMRPhenomXPNR,NRSur7dq4,0.07094887668874608
GW241002_030559,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.08830992397858195
GW241002_030559,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.0236560147518208
GW241002_030559,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.11220084532189503
GW241002_030559,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.15967903345134776
GW241002_030559,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.05263601271159018
GW241002_030559,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.11000825515000513
GW241002_030559,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.0032242733698318454
GW241002_030559,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.031160764981422326
GW241002_030559,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.03443886993829101
GW241002_030559,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.06084710755379494
GW241002_030559,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.011238863218476579
GW241002_030559,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.07236273969416711
GW241002_030559,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.17881426225688454
GW241002_030559,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.08027285774625588
GW241002_030559,final_spin,IMRPhenomXPNR,NRSur7dq4,0.10661004349530442
GW241009_022835,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.02047118035977166
GW241009_022835,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.06250626359361403
GW241009_022835,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.042690851834932875
GW241009_022835,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.14952069100930843
GW241009_022835,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.06806204612650057
GW241009_022835,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.08273920683927646
GW241009_022835,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.0027666585128248303
GW241009_022835,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.03811803380952062
GW241009_022835,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.03545647137710325
GW241009_022835,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.020607442045072692
GW241009_022835,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.07935582280398067
GW241009_022835,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.059782878479085574
GW241009_022835,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.139449655658631
GW241009_022835,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.14698102594881265
GW241009_022835,final_spin,IMRPhenomXPNR,NRSur7dq4,0.005069698253292167
GW241101_220523,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.006892373408395572
GW241101_220523,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.0057748166202214275
GW241101_220523,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.0012567967155382804
GW241101_220523,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.08894959207811347
GW241101_220523,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.1141824895179691
GW241101_220523,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.024420956930278116
GW241101_220523,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.012436526790667394
GW241101_220523,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.029276131618462594
GW241101_220523,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.041947575366223726
GW241101_220523,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.027336640014858502
GW241101_220523,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.04990744675399242
GW241101_220523,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.02162606128831772
GW241101_220523,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.04534449192845703
GW241101_220523,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.15266159168357174
GW241101_220523,final_spin,IMRPhenomXPNR,NRSur7dq4,0.1103173356288022
GW241109_033317,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.025963908996305168
GW241109_033317,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.035845802947915145
GW241109_033317,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.06142530160872792
GW241109_033317,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.12398697395813298
GW241109_033317,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.05588877421743223
GW241109_033317,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.06749582159586984
GW241109_033317,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.02534443963725371
GW241109_033317,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.05324140246005914
GW241109_033317,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.07869826962900116
GW241109_033317,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.010648865956413898
