event,model_a,model_b,parameter,finite_n_a,finite_n_b,raw_W1,scale,full_norm_W1,independent_W1_abs_diff,balanced_seed,balanced_n_each,balanced_q05,balanced_median,balanced_q95
GW240716_034900,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,luminosity_distance,18295,19085,47.64589753050595,1000.6873374902801,0.04761317121290019,0.0,452840099,4000,0.033813079288706575,0.051435504691347875,0.06903614162202082
GW240716_034900,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_mass_source,18295,19085,0.4869592121171546,6.706289200685376,0.07261231920439516,0.0,381216977,4000,0.056423556190122404,0.07545862727904001,0.0971033073418219
GW240716_034900,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_spin,18295,19085,0.00835959729960453,0.07983123256621205,0.1047158741119408,1.734723475976807e-18,131158113,4000,0.09133871537223054,0.10900375075050492,0.12502220386746402
GW240716_034900,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,18295,20091,0.14971354227674372,3.133737785733956,0.04777475095660537,0.0,981160977,4000,0.03510490274307607,0.05275687739665055,0.07703891570530334
GW240716_034900,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,18295,20091,0.016086541366085862,0.17101312339673516,0.09406612221663553,0.0,769773130,4000,0.07481845131618535,0.09613101239895665,0.12232141630238316
GW240716_034900,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,18295,20091,90.18988899190792,996.6104376282452,0.09049663297380643,1.4210854715202004e-14,61050466,4000,0.06830536501031645,0.09008191900136311,0.11252730648516233
GW240716_034900,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,18295,20091,0.5271667627502715,6.85958778863381,0.07685108478730683,1.1102230246251565e-16,943053438,4000,0.058230143492758235,0.079018039918412,0.10115166561623587
GW240716_034900,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,18295,20091,0.011743175265982892,0.08321354277175641,0.14112096270426613,1.734723475976807e-18,680772622,4000,0.12246778170013121,0.14544507322003922,0.1705358559752492
GW240716_034900,IMRPhenomXPNR,NRSur7dq4,chirp_mass_source,19085,20091,0.16267850717812768,3.127537133920198,0.05201489229776755,0.0,814750901,4000,0.035607032591225975,0.0556200099640215,0.07539119379660102
GW240716_034900,IMRPhenomXPNR,NRSur7dq4,chi_eff,19085,20091,0.007319652547189751,0.16333603326997623,0.04481345849198617,0.0,72268746,4000,0.02906236793215925,0.04885497162598303,0.06426088373747277
