event,repetition,event_median_balanced_norm_W1
GW240621_214041,62,0.056288604825572956
GW240621_214041,63,0.04539183123574171
GW240621_214041,64,0.06340057329942556
GW240621_214041,65,0.05965176640461345
GW240621_214041,66,0.060867145152098026
GW240621_214041,67,0.05893111356250255
GW240621_214041,68,0.0689883524063805
GW240621_214041,69,0.05153349543260153
GW240621_214041,70,0.05309139818461489
GW240621_214041,71,0.05569688657494983
GW240621_214041,72,0.054121482009882996
GW240621_214041,73,0.05554954652048463
GW240621_214041,74,0.054515687958521034
GW240621_214041,75,0.061588155293652025
GW240621_214041,76,0.05056791259602402
GW240621_214041,77,0.05529117881058983
GW240621_214041,78,0.05436950029536653
GW240621_214041,79,0.0517919506970548
GW240703_191355,0,0.050614969433206446
GW240703_191355,1,0.04526404635138881
GW240703_191355,2,0.027773035985140995
GW240703_191355,3,0.03734072250183773
GW240703_191355,4,0.0401677896769657
GW240703_191355,5,0.05487351523192584
GW240703_191355,6,0.039611813334272716
GW240703_191355,7,0.03412066265501432
GW240703_191355,8,0.03424444378006882
GW240703_191355,9,0.041666862995416776
GW240703_191355,10,0.031061959414112685
GW240703_191355,11,0.04045608489831724
GW240703_191355,12,0.035251030073434754
GW240703_191355,13,0.03642119582430823
GW240703_191355,14,0.05645919020169415
GW240703_191355,15,0.028066278274872347
GW240703_191355,16,0.03416905173870476
GW240703_191355,17,0.045645354796895035
GW240703_191355,18,0.04186475122329416
GW240703_191355,19,0.042474820977075445
GW240703_191355,20,0.03751660410929841
GW240703_191355,21,0.03637535890216115
GW240703_191355,22,0.03586152455469219
GW240703_191355,23,0.040032574424002515
GW240703_191355,24,0.03496713464989609
GW240703_191355,25,0.038746482722056275
GW240703_191355,26,0.036352341330332445
GW240703_191355,27,0.0411965485385896
GW240703_191355,28,0.039412311918953516
GW240703_191355,29,0.04406853347148936
GW240703_191355,30,0.03859981955700496
GW240703_191355,31,0.038654923258658005
GW240703_191355,32,0.03966693892051243
GW240703_191355,33,0.04253004130897448
GW240703_191355,34,0.047397849848846915
GW240703_191355,35,0.040510347970654025
GW240703_191355,36,0.048187732471232855
GW240703_191355,37,0.046215609472392054
GW240703_191355,38,0.03322081998214416
GW240703_191355,39,0.03727075416488403
GW240703_191355,40,0.03723911664305979
GW240703_191355,41,0.053777575176651354
GW240703_191355,42,0.03378077424260024
GW240703_191355,43,0.035408875829364056
GW240703_191355,44,0.04120058728286453
GW240703_191355,45,0.036642661555149655
GW240703_191355,46,0.040685655821409414
GW240703_191355,47,0.03861471949141093
GW240703_191355,48,0.04354349269222849
GW240703_191355,49,0.027067146496064433
GW240703_191355,50,0.048774115588248325
GW240703_191355,51,0.030552677724984184
GW240703_191355,52,0.02791304651282682
GW240703_191355,53,0.035986150567741126
GW240703_191355,54,0.03621688824302233
GW240703_191355,55,0.04509840996162906
GW240703_191355,56,0.04010902666653175
GW240703_191355,57,0.04110321535039754
GW240703_191355,58,0.03574239115048078
GW240703_191355,59,0.03736535630665901
GW240703_191355,60,0.032638897083122585
GW240703_191355,61,0.041482538998123916
GW240703_191355,62,0.040910231433617474
GW240703_191355,63,0.04675670922529471
GW240703_191355,64,0.04860043589298666
GW240703_191355,65,0.03594318643268847
GW240703_191355,66,0.043198276078695586
GW240703_191355,67,0.040252945303851644
GW240703_191355,68,0.026312686510941326
GW240703_191355,69,0.042390273716989064
GW240703_191355,70,0.03797108314472432
GW240703_191355,71,0.04332823298682538
GW240703_191355,72,0.03707642276605061
GW240703_191355,73,0.033241129283389105
GW240703_191355,74,0.041368713085255054
GW240703_191355,75,0.050094498803097486
GW240703_191355,76,0.0434589085317052
GW240703_191355,77,0.02744758913545475
GW240703_191355,78,0.032873504299077004
GW240703_191355,79,0.03805160277938219
GW240716_034900,0,0.08105217155089733
GW240716_034900,1,0.10212438513647266
GW240716_034900,2,0.07855642761225641
GW240716_034900,3,0.07612628163648892
GW240716_034900,4,0.10049846756583966
GW240716_034900,5,0.10196751068177771
GW240716_034900,6,0.10213510645057373
GW240716_034900,7,0.08193415606829374
GW240716_034900,8,0.09328119874371461
GW240716_034900,9,0.08673323092903715
GW240716_034900,10,0.07697707955264044
GW240716_034900,11,0.08853857707481891
GW240716_034900,12,0.0993685991704819
GW240716_034900,13,0.09568402105396089
GW240716_034900,14,0.07602198281204137
GW240716_034900,15,0.08354310439217248
GW240716_034900,16,0.10228887076823218
GW240716_034900,17,0.08429126999578022
GW240716_034900,18,0.09700470498027243
GW240716_034900,19,0.09593697974823649
GW240716_034900,20,0.08595038226608918
GW240716_034900,21,0.07714352702603969
GW240716_034900,22,0.09589740340641306
GW240716_034900,23,0.09020292736734035
GW240716_034900,24,0.10345435718751991
GW240716_034900,25,0.08641003118772987
GW240716_034900,26,0.10379998612977445
GW240716_034900,27,0.08598291675270262
GW240716_034900,28,0.08838018212137375
GW240716_034900,29,0.08731295061328691
GW240716_034900,30,0.08758363223498314
GW240716_034900,31,0.08793908880430015
GW240716_034900,32,0.08744858463489649
GW240716_034900,33,0.08264298974175069
GW240716_034900,34,0.09157216856353823
GW240716_034900,35,0.08659552675543415
GW240716_034900,36,0.09728070802510065
GW240716_034900,37,0.08277152988865466
GW240716_034900,38,0.09586065991456567
