event,model,parameter,median,lower_error,upper_error,q05_reconstructed,q95_reconstructed,mask_pass,finite_pass,nonnegative_error_pass,positive_width_pass,triplet_pass
GW240515_005301,NRSur7dq4,final_mass_source,52.83838550747408,8.090381489770628,10.633594521334487,44.74800401770345,63.47198002880857,True,True,True,True,True
GW240515_005301,NRSur7dq4,final_spin,0.8255368312105211,0.0917965432823441,0.06139937237302262,0.733740287928177,0.8869362035835437,True,True,True,True,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,43.224314130788315,10.05540921560982,13.202902734907447,33.168904915178494,56.42721686569576,True,True,True,True,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,chi_eff,0.0006164860384459548,0.32100173810600074,0.2978842558180672,-0.3203852520675548,0.29850074185651315,True,True,True,True,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,luminosity_distance,5479.306190965877,2909.0642225865768,5112.346992671641,2570.2419683793005,10591.653183637518,True,True,True,True,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,final_mass_source,100.6393522336373,23.015842061937008,28.072666447407315,77.62351017170029,128.7120186810446,True,True,True,True,True
GW240618_071627,IMRPhenomXPHM-SpinTaylor,final_spin,0.6819784031751038,0.1699645827987062,0.1251780042797892,0.5120138203763976,0.807156407454893,True,True,True,True,True
GW240618_071627,IMRPhenomXPNR,chirp_mass_source,43.056873432911004,10.17416463135342,12.660486564231135,32.882708801557584,55.71735999714214,True,True,True,True,True
GW240618_071627,IMRPhenomXPNR,chi_eff,-0.022613158507317616,0.3212067838367609,0.2782453496031216,-0.3438199423440785,0.255632191095804,True,True,True,True,True
GW240618_071627,IMRPhenomXPNR,luminosity_distance,5334.138005789359,2819.7409348136825,5066.658355082215,2514.397070975677,10400.796360871575,True,True,True,True,True
GW240618_071627,IMRPhenomXPNR,final_mass_source,99.98211942256023,22.72354883546258,27.277776914756345,77.25857058709765,127.25989633731658,True,True,True,True,True
GW240618_071627,IMRPhenomXPNR,final_spin,0.6670708255685294,0.16971187428303952,0.11825375443589803,0.49735895128548985,0.7853245800044274,True,True,True,True,True
GW240618_071627,NRSur7dq4,chirp_mass_source,42.91799252698309,9.887928646634457,13.405178540184544,33.030063880348635,56.323171067167635,True,True,True,True,True
GW240618_071627,NRSur7dq4,chi_eff,-0.010010839276063697,0.3207900333642362,0.2894127305040386,-0.33080087264029995,0.2794018912279749,True,True,True,True,True
GW240618_071627,NRSur7dq4,luminosity_distance,5523.045033004297,2991.319042787315,5081.632945105801,2531.7259902169817,10604.677978110098,True,True,True,True,True
GW240618_071627,NRSur7dq4,final_mass_source,99.27490964178662,22.648739598118055,28.810996153980568,76.62617004366857,128.0859057957672,True,True,True,True,True
GW240618_071627,NRSur7dq4,final_spin,0.6691406403165582,0.16974907485684443,0.1186242518422298,0.49939156545971375,0.787764892158788,True,True,True,True,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,32.091653847984844,6.694713044701512,10.302702354788885,25.396940803283332,42.39435620277373,True,True,True,True,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,chi_eff,0.0007721886642163289,0.28458177680244306,0.2587276582491767,-0.2838095881382267,0.25949984691339306,True,True,True,True,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,luminosity_distance,6778.69878873355,3433.1660551054706,4790.794036097775,3345.5327336280793,11569.492824831324,True,True,True,True,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,final_mass_source,72.8172883269921,15.093934883432546,22.391725179363632,57.72335344355955,95.20901350635573,True,True,True,True,True
GW240621_214041,IMRPhenomXPHM-SpinTaylor,final_spin,0.6935215518483909,0.1312867635520708,0.11116278498975607,0.5622347882963201,0.804684336838147,True,True,True,True,True
GW240621_214041,IMRPhenomXPNR,chirp_mass_source,31.914366712400167,6.685013699094856,9.806472127080148,25.22935301330531,41.720838839480315,True,True,True,True,True
GW240621_214041,IMRPhenomXPNR,chi_eff,-0.03124633413514987,0.2859070695882947,0.24543389053183937,-0.3171534037234446,0.2141875563966895,True,True,True,True,True
GW240621_214041,IMRPhenomXPNR,luminosity_distance,6855.866301792272,3412.189732144698,4674.086986081795,3443.6765696475736,11529.953287874067,True,True,True,True,True
GW240621_214041,IMRPhenomXPNR,final_mass_source,72.20564888612375,15.002185704350879,21.103703033160485,57.203463181772875,93.30935191928424,True,True,True,True,True
GW240621_214041,IMRPhenomXPNR,final_spin,0.6802491252155449,0.13129053833356186,0.09695099775633342,0.5489585868819831,0.7772001229718783,True,True,True,True,True
GW240621_214041,NRSur7dq4,chirp_mass_source,32.29072457924176,6.722374595222707,10.002542075013189,25.568349984019054,42.29326665425495,True,True,True,True,True
GW240621_214041,NRSur7dq4,chi_eff,-0.006533454028165693,0.27504836187527537,0.24446954284923353,-0.28158181590344106,0.23793608882106784,True,True,True,True,True
GW240621_214041,NRSur7dq4,luminosity_distance,6634.54041929316,3301.1264400620366,4766.560155110275,3333.4139792311234,11401.100574403436,True,True,True,True,True
GW240621_214041,NRSur7dq4,final_mass_source,73.23955969716373,15.374361591308976,21.249712372232423,57.86519810585475,94.48927206939615,True,True,True,True,True
GW240621_214041,NRSur7dq4,final_spin,0.6841598939332205,0.13082889194068148,0.09419323152714731,0.553331001992539,0.7783531254603678,True,True,True,True,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,26.159668602609145,4.035547185027021,3.8019963689812393,22.124121417582124,29.961664971590384,True,True,True,True,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,chi_eff,0.05167979280527319,0.200757207915157,0.20807648958653802,-0.14907741510988382,0.2597562823918112,True,True,True,True,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,luminosity_distance,1881.6524009043883,855.8916945563831,1535.8349449726838,1025.7607063480052,3417.487345877072,True,True,True,True,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,final_mass_source,58.3208877114364,8.763211081392136,7.979058785773844,49.55767663004426,66.29994649721024,True,True,True,True,True
GW240703_191355,IMRPhenomXPHM-SpinTaylor,final_spin,0.7066362423283392,0.08457948923037195,0.08723800874697474,0.6220567530979673,0.793874251075314,True,True,True,True,True
GW240703_191355,IMRPhenomXPNR,chirp_mass_source,26.033175220188706,3.9423099051565806,3.763199747149521,22.090865315032126,29.796374967338227,True,True,True,True,True
GW240703_191355,IMRPhenomXPNR,chi_eff,0.023190288349517783,0.20876639222276214,0.2015604800651845,-0.18557610387324436,0.2247507684147023,True,True,True,True,True
GW240703_191355,IMRPhenomXPNR,luminosity_distance,1851.7729485607172,839.1060825085123,1524.852621520796,1012.6668660522049,3376.625570081513,True,True,True,True,True
GW240703_191355,IMRPhenomXPNR,final_mass_source,58.12935366340002,8.68125950592325,7.927040653859912,49.44809415747677,66.05639431725993,True,True,True,True,True
GW240703_191355,IMRPhenomXPNR,final_spin,0.6984043107650049,0.08333053377564226,0.08245777141693389,0.6150737769893626,0.7808620821819388,True,True,True,True,True
GW240703_191355,NRSur7dq4,chirp_mass_source,26.17130380902333,3.9232218999487074,3.765294022694576,22.24808190907462,29.936597831717904,True,True,True,True,True
GW240703_191355,NRSur7dq4,chi_eff,0.05079974162250425,0.19767657754042992,0.19184647535660218,-0.14687683591792566,0.24264621697910643,True,True,True,True,True
GW240703_191355,NRSur7dq4,luminosity_distance,1883.8710629895863,869.0894019107282,1516.7413993915052,1014.7816610788582,3400.6124623810915,True,True,True,True,True
GW240703_191355,NRSur7dq4,final_mass_source,58.24044020051795,8.67226420695598,7.94381488158146,49.56817599356197,66.18425508209941,True,True,True,True,True
GW240703_191355,NRSur7dq4,final_spin,0.7032395219361345,0.0786347427345242,0.07572671447416868,0.6246047792016103,0.7789662364103032,True,True,True,True,True
GW240716_034900,IMRPhenomXPHM-SpinTaylor,chirp_mass_source,28.054182410005012,3.3267484921398314,3.921582765672447,24.72743391786518,31.97576517567746,True,True,True,True,True
