sequence,allocation_order,candidate_key,detector,channel,request_start_gps,request_end_gps,window_start_gps,window_end_gps,status,sample_rate_hz,dtype,sample_count,expected_sample_count,first_sample_gps,last_sample_exclusive_gps,payload_path,payload_sha256,transport,error_type,error_message
56,7,PAIR:S231221ax,L1,L1:GDS-GATED_STRAIN_AR,1387201851,1387201868,1387201851.3176999,1387201867.3176999,SUCCESS,16384,float64,262144,262144,1387201851.317749,1387201867.317749,work/strain_payload/PAIR_S231221ax/L1/GDS-GATED_STRAIN_AR.npy,54913e6adedcf72f5990f7d5e557e216fd6e764a09b85eb8d4681ad7f1da332e,nds2.connection.iterate,,
57,8,PAIR:S231206c,H1,H1:GDS-CALIB_STRAIN_AR,1385859999,1385860016,1385859999.1785212,1385860015.1785212,SUCCESS,16384,float64,262144,262144,1385859999.1785278,1385860015.1785278,work/strain_payload/PAIR_S231206c/H1/GDS-CALIB_STRAIN_AR.npy,6e6f9faef8b6e5208ad911ccb1b2ebb77bcb6166b9b3a4e8048491e2963c1248,nds2.connection.iterate,,
58,8,PAIR:S231206c,H1,H1:GDS-CALIB_STRAIN_NOLINES_AR,1385859999,1385860016,1385859999.1785212,1385860015.1785212,SUCCESS,16384,float64,262144,262144,1385859999.1785278,1385860015.1785278,work/strain_payload/PAIR_S231206c/H1/GDS-CALIB_STRAIN_NOLINES_AR.npy,560e2f74a47fa686a717b46e153ed6dc224ddb919924df6899e664f364168b5d,nds2.connection.iterate,,
59,8,PAIR:S231206c,H1,H1:GDS-CALIB_STRAIN_CLEAN_AR,1385859999,1385860016,1385859999.1785212,1385860015.1785212,SUCCESS,16384,float64,262144,262144,1385859999.1785278,1385860015.1785278,work/strain_payload/PAIR_S231206c/H1/GDS-CALIB_STRAIN_CLEAN_AR.npy,f76031466e278f533779d14e769bc0f3e63ceda91cc054f78dfd47fec22272f9,nds2.connection.iterate,,
60,8,PAIR:S231206c,H1,H1:GDS-GATED_STRAIN_AR,1385859999,1385860016,1385859999.1785212,1385860015.1785212,SUCCESS,16384,float64,262144,262144,1385859999.1785278,1385860015.1785278,work/strain_payload/PAIR_S231206c/H1/GDS-GATED_STRAIN_AR.npy,560e2f74a47fa686a717b46e153ed6dc224ddb919924df6899e664f364168b5d,nds2.connection.iterate,,
61,8,PAIR:S231206c,L1,L1:GDS-CALIB_STRAIN_AR,1385859999,1385860016,1385859999.1785212,1385860015.1785212,SUCCESS,16384,float64,262144,262144,1385859999.1785278,1385860015.1785278,work/strain_payload/PAIR_S231206c/L1/GDS-CALIB_STRAIN_AR.npy,4db2750d7bc209b5b319fd701bbc897fd9a6dd9b0db1ff72fa440d4a56022758,nds2.connection.iterate,,
62,8,PAIR:S231206c,L1,L1:GDS-CALIB_STRAIN_NOLINES_AR,1385859999,1385860016,1385859999.1785212,1385860015.1785212,SUCCESS,16384,float64,262144,262144,1385859999.1785278,1385860015.1785278,work/strain_payload/PAIR_S231206c/L1/GDS-CALIB_STRAIN_NOLINES_AR.npy,fcbd2806e4331111aa13b5d0dfd7f9b23ba2502ed6e073ba8bdf609f70bc6054,nds2.connection.iterate,,
63,8,PAIR:S231206c,L1,L1:GDS-CALIB_STRAIN_CLEAN_AR,1385859999,1385860016,1385859999.1785212,1385860015.1785212,SUCCESS,16384,float64,262144,262144,1385859999.1785278,1385860015.1785278,work/strain_payload/PAIR_S231206c/L1/GDS-CALIB_STRAIN_CLEAN_AR.npy,89642b0e47c8093d8affab4d7ccecda10778453ebab147199a68cd794d3d7e6d,nds2.connection.iterate,,
64,8,PAIR:S231206c,L1,L1:GDS-GATED_STRAIN_AR,1385859999,1385860016,1385859999.1785212,1385860015.1785212,SUCCESS,16384,float64,262144,262144,1385859999.1785278,1385860015.1785278,work/strain_payload/PAIR_S231206c/L1/GDS-GATED_STRAIN_AR.npy,20af8936254965f44a467baa9e4f4b793210aa4cf5217defd0aa3469fefff856,nds2.connection.iterate,,
65,9,PAIR:S230720aq,H1,H1:GDS-CALIB_STRAIN_AR,1373885108,1373885125,1373885108.1427503,1373885124.1427503,SUCCESS,16384,float64,262144,262144,1373885108.1427612,1373885124.1427612,work/strain_payload/PAIR_S230720aq/H1/GDS-CALIB_STRAIN_AR.npy,d93bf1c753e475c1222ad83ff994d7e9148780c879577d65eb85372453373154,nds2.connection.iterate,,
