filename,size_bytes,upstream_checksum,content_url,extension,classification,content_downloaded,content_read
gwcosmo_fullpop_des_xi0_narrow.json,41096305,md5:36f9c44a3354671c5b2a335e84d597b2,https://zenodo.org/api/records/20378418/files/gwcosmo_fullpop_des_xi0_narrow.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_ifar1_fullpop_des_lum.json,37740195,md5:37c2efc0673868293c299209b08b6a78,https://zenodo.org/api/records/20378418/files/gwcosmo_ifar1_fullpop_des_lum.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_mltp_des_lum.json,21771755,md5:1a737499004d77e75dcca52ef025859d,https://zenodo.org/api/records/20378418/files/gwcosmo_mltp_des_lum.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_fullpop_des_cm_narrow.json,37772995,md5:3c4d56f40990da76a48e84a51b3c4456,https://zenodo.org/api/records/20378418/files/gwcosmo_fullpop_des_cm_narrow.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_fullpop_spectral.json,36790718,md5:dd2ae7faffe211cbda162bd322b8a933,https://zenodo.org/api/records/20378418/files/gwcosmo_fullpop_spectral.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_mltp_glade_lum.json,21793408,md5:3b82a84cd61661538ede8ce526b075ca,https://zenodo.org/api/records/20378418/files/gwcosmo_mltp_glade_lum.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_ifar1_fullpop_des_uni.json,37925154,md5:cdc2633d9baa88e8cf32080a85c2771d,https://zenodo.org/api/records/20378418/files/gwcosmo_ifar1_fullpop_des_uni.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_bpl3p_spectral.json,40780777,md5:18f335c0bfc55e2330ca1110394e14aa,https://zenodo.org/api/records/20378418/files/gwcosmo_bpl3p_spectral.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_mltp_glade_uni.json,21895336,md5:c11bc57ea2f42f453ff38ef7efba9191,https://zenodo.org/api/records/20378418/files/gwcosmo_mltp_glade_uni.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_mltp_spectral.json,21843157,md5:e4398917a666d947560ce2e668bb0b54,https://zenodo.org/api/records/20378418/files/gwcosmo_mltp_spectral.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
gwcosmo_mltp_des_uni.json,21572148,md5:eb0b6e6357d2067961fc3be1555ade74,https://zenodo.org/api/records/20378418/files/gwcosmo_mltp_des_uni.json/content,.json,TABLE_OR_STRUCTURED_DATA,FALSE,FALSE
