event,missing_models,masked_fields,summary_filenames,expected_filename,summary_filename_pass,zenodo_file_manifest_pass
GW230731_215307,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230731_215307-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230731_215307-combined_PEDataRelease.hdf5,True,True
GW230803_033412,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230803_033412-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230803_033412-combined_PEDataRelease.hdf5,True,True
GW230819_171910,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230819_171910-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230819_171910-combined_PEDataRelease.hdf5,True,True
GW230820_212515,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230820_212515-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230820_212515-combined_PEDataRelease.hdf5,True,True
GW230831_015414,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230831_015414-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230831_015414-combined_PEDataRelease.hdf5,True,True
GW230904_051013,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230904_051013-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230904_051013-combined_PEDataRelease.hdf5,True,True
GW230911_195324,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230911_195324-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230911_195324-combined_PEDataRelease.hdf5,True,True
GW230919_215712,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230919_215712-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230919_215712-combined_PEDataRelease.hdf5,True,True
GW230927_153832,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW230927_153832-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW230927_153832-combined_PEDataRelease.hdf5,True,True
GW231001_140220,C00:NRSur7dq4,,IGWN-GWTC4p1-18965dda8_5-GW231001_140220-combined_PEDataRelease.hdf5,IGWN-GWTC4p1-18965dda8_5-GW231001_140220-combined_PEDataRelease.hdf5,True,True
