endpoint_id,pair_id,event_id,role,dat_member,dat_size_bytes,config_member,config_size_bytes,header_token_count,parameter_token,parameter_column_index,weight_mode,weight_column_index,support_min,support_max,kerr_modes,dat_header_prefix_sha256,config_sha256,member_gate,header_gate,config_gate,schema_state,unresolved_reason,values_interpreted
PAIR00450:BASE,PAIR00450,GW230927_043729,BASE,pyring/samples/GW230927_043729/GW230927_043729_Kerr_220_np_10M/pyRing_GW230927_043729_Kerr_220_np_10M.dat,11796688,pyring/samples/GW230927_043729/GW230927_043729_Kerr_220_np_10M/config_GW230927_043729_Kerr_220_np_10M.ini,1095,7,af,2,IMPLICIT_UNIT,,,,,1f6315d23369eabea70a59ef9e2ce5d6e91af209c13d1bf3339b8cce09f4313d,d3eda48f013798124bf26aaa8d3be41177d0c8c5ca0d4687cbfa80ed5531c5e9,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00450:VARIANT,PAIR00450,GW230927_043729,VARIANT,pyring/samples/GW230927_043729/GW230927_043729_Kerr_221_np_10M/pyRing_GW230927_043729_Kerr_221_np_10M.dat,14790895,pyring/samples/GW230927_043729/GW230927_043729_Kerr_221_np_10M/config_GW230927_043729_Kerr_221_np_10M.ini,1106,9,af,2,IMPLICIT_UNIT,,,,,0ea666aacc94917f0de5102d2a7929bfb7301fbf4ae37423b830a38250f1ae25,0311d1417a4e26fd9d0b589091863176f72d8ef5c0e5cce93c43041c3b387ba3,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00495:BASE,PAIR00495,GW230927_153832,BASE,pyring/samples/GW230927_153832/GW230927_153832_Kerr_220_np_10M/pyRing_GW230927_153832_Kerr_220_np_10M.dat,9776160,pyring/samples/GW230927_153832/GW230927_153832_Kerr_220_np_10M/config_GW230927_153832_Kerr_220_np_10M.ini,1094,7,af,2,IMPLICIT_UNIT,,,,,2d820071e36370626ff743f42e7e649fe8be564209450a870a1dfcf4afc14e4b,fd90001317762c55ba36728fdd129a80c54e5c7f7ef9da4974bce049f0b6919b,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00495:VARIANT,PAIR00495,GW230927_153832,VARIANT,pyring/samples/GW230927_153832/GW230927_153832_Kerr_220_210_np_10M/pyRing_GW230927_153832_Kerr_220_210_np_10M.dat,15024324,pyring/samples/GW230927_153832/GW230927_153832_Kerr_220_210_np_10M/config_GW230927_153832_Kerr_220_210_np_10M.ini,1105,9,af,2,IMPLICIT_UNIT,,,,,086bf93c0f5370a73b5eb3244d77023ff28db37384213d847f54564e7570d0a5,a8ade2869224b0e8dcfb4e3e024b4be5f1f7bf5ae210481b442dee54a32f344a,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00540:BASE,PAIR00540,GW230928_215827,BASE,pyring/samples/GW230928_215827/GW230928_215827_Kerr_220_np_10M/pyRing_GW230928_215827_Kerr_220_np_10M.dat,17311987,pyring/samples/GW230928_215827/GW230928_215827_Kerr_220_np_10M/config_GW230928_215827_Kerr_220_np_10M.ini,1097,7,af,2,IMPLICIT_UNIT,,,,,baed656c25390a54c32094bda51fe60f37356210df3c4fd5153b9101d058631f,bf519e9750c9a2bf4df9d7e4536c2be3dbdb3d10365b5d45336fb73ad369a5ca,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00540:VARIANT,PAIR00540,GW230928_215827,VARIANT,pyring/samples/GW230928_215827/GW230928_215827_Kerr_220_320_np_10M/pyRing_GW230928_215827_Kerr_220_320_np_10M.dat,24842909,pyring/samples/GW230928_215827/GW230928_215827_Kerr_220_320_np_10M/config_GW230928_215827_Kerr_220_320_np_10M.ini,1108,9,af,2,IMPLICIT_UNIT,,,,,22abdaac5b488993b8971f19654cf522b3b36281bc417f3c84d1f59470bb5c5d,15906db0a9b94814f14c6763a85617777984cd5bce729a0feaa7255e6c44389b,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00583:BASE,PAIR00583,GW231001_140220,BASE,pyring/samples/GW231001_140220/GW231001_140220_Kerr_220_np_10M/pyRing_GW231001_140220_Kerr_220_np_10M.dat,9822547,pyring/samples/GW231001_140220/GW231001_140220_Kerr_220_np_10M/config_GW231001_140220_Kerr_220_np_10M.ini,1095,7,af,2,IMPLICIT_UNIT,,,,,7743e4c8ee17056944319b8e0ce1a17c3af63cff0da99aae4b89d3a9c00a5ce8,3f1c9bf19c7491df6e4977ef84e183ce5d8b7934e38b86cf2754fdec7f8fef73,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00583:VARIANT,PAIR00583,GW231001_140220,VARIANT,pyring/samples/GW231001_140220/GW231001_140220_Kerr_221_np_10M/pyRing_GW231001_140220_Kerr_221_np_10M.dat,13815555,pyring/samples/GW231001_140220/GW231001_140220_Kerr_221_np_10M/config_GW231001_140220_Kerr_221_np_10M.ini,1106,9,af,2,IMPLICIT_UNIT,,,,,055a21b8a75bf3bfb3a72cbf1d5775cff9c13f9b348b4416c9049b3551013459,f5adfd4c4eec37f10f2fa6e04284862251a5b69b0e8b8a4e45b00c1ca2e07a96,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00621:BASE,PAIR00621,GW231028_153006,BASE,pyring/samples/GW231028_153006/GW231028_153006_Kerr_220_np_10M/pyRing_GW231028_153006_Kerr_220_np_10M.dat,15722714,pyring/samples/GW231028_153006/GW231028_153006_Kerr_220_np_10M/config_GW231028_153006_Kerr_220_np_10M.ini,1098,7,af,2,IMPLICIT_UNIT,,,,,467900b6691d227d9755137a27b6fa8a9c148d33513b23a597aca200882143f5,b8ea3588bb0b8d7f70286a8249f64f8fd2db59f37d3299ed0b9325a9c129f162,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
PAIR00621:VARIANT,PAIR00621,GW231028_153006,VARIANT,pyring/samples/GW231028_153006/GW231028_153006_Kerr_220_200_np_10M/pyRing_GW231028_153006_Kerr_220_200_np_10M.dat,19407956,pyring/samples/GW231028_153006/GW231028_153006_Kerr_220_200_np_10M/config_GW231028_153006_Kerr_220_200_np_10M.ini,1109,9,af,2,IMPLICIT_UNIT,,,,,c49e3b43d54c40794684eee823218f0d47defd3a226e121fec5b20b58c7f0f47,d8d87dd1371c7157d2c09c35324c306f5af3127eec7e6e3ce49aca98ec803bae,PASS,PASS,FAIL,UNRESOLVED,BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,false
