event,zenodo_record,official_filename,expected_size_bytes,observed_size_bytes,size_pass,expected_md5,observed_md5,md5_pass,sha256,identity_pass,xphm_spintaylor_rows_shape_only,xpnr_rows_shape_only,nrsur7dq4_rows_shape_only,all_required_models_schema_pass,event_gate_status,failure_reasons,posterior_values_accessed,download_deleted_after_inspection
GW241002_030559,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW241002_030559-combined_PEDataRelease.hdf5,249970764,249970764,True,2eb447584d46d8fbe408232586d88010,2eb447584d46d8fbe408232586d88010,True,5b0a1899bcff48666c3e19657f2a7fc60198607fd3d20c4d1f255dd706251c6a,True,14435,12554,13544,True,PASS,,False,True
GW241009_022835,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW241009_022835-combined_PEDataRelease.hdf5,207099692,207099692,True,1bb20b6a317ca108b000f1e0a00fc4c1,1bb20b6a317ca108b000f1e0a00fc4c1,True,b4a1710b10fb02a7511ba1d81232ab74c974118a8354c98a300515cf28b1ad64,True,15066,16243,16523,True,PASS,,False,True
GW241101_220523,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW241101_220523-combined_PEDataRelease.hdf5,189520596,189520596,True,01e62d1344279846553b17dc49677a7b,01e62d1344279846553b17dc49677a7b,True,0fb14a047bded6483535087837dfeab46078b0ec40b4c96c5fc65e6e924f7e7d,True,17545,18125,16729,True,PASS,,False,True
GW241109_033317,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW241109_033317-combined_PEDataRelease.hdf5,209267612,209267612,True,5d6a7ab116df6a2786e7c48ea9628a3f,5d6a7ab116df6a2786e7c48ea9628a3f,True,feb3131d5670f5f493f1fee82867b01209606ef97c80cb0f0a77a3d078dc961b,True,17821,19274,17413,True,PASS,,False,True
GW241125_010116,20348005,IGWN-GWTC5p0-29ebe06b7_25-GW241125_010116-combined_PEDataRelease.hdf5,205028940,205028940,True,2b27d8a5562e149c54e737d1a549eee0,2b27d8a5562e149c54e737d1a549eee0,True,b6a1bbfb79aedcddac7ffa360d0bb4cbc64048c73f8ccc6620bf7c4a752111b9,True,15275,15669,15138,True,PASS,,False,True
GW241210_120900,20348006,IGWN-GWTC5p0-29ebe06b7_25-GW241210_120900-combined_PEDataRelease.hdf5,173545500,173545500,True,99a5392695550824561cacf89094c0d4,99a5392695550824561cacf89094c0d4,True,a376458b4d953268ae1e758e185ae87985a79c5885eb0b3a5161d7851e547ee1,True,15608,15060,15700,True,PASS,,False,True
GW241229_155844,20348006,IGWN-GWTC5p0-29ebe06b7_25-GW241229_155844-combined_PEDataRelease.hdf5,208635964,208635964,True,254d9593898315151d2dd99c5310e40f,254d9593898315151d2dd99c5310e40f,True,ec4324e7ac744fa9a378d76df771a3bfdb3e32a956c8c8ec75dcf6f597ed6d3c,True,16352,16354,15770,True,PASS,,False,True
GW241230_084504,20348006,IGWN-GWTC5p0-29ebe06b7_25-GW241230_084504-combined_PEDataRelease.hdf5,160549876,160549876,True,248f6aa86c41aabe58e4a1ec3289596d,248f6aa86c41aabe58e4a1ec3289596d,True,c6c49ad715919878f548c1eb2ecee2eaa2d337b94661109f538d2dadd5ecba0b,True,14400,14379,14624,True,PASS,,False,True
GW250104_015122,20348006,IGWN-GWTC5p0-29ebe06b7_25-GW250104_015122-combined_PEDataRelease.hdf5,221028524,221028524,True,b112f279a582a0c7a3587ff9fc3e5afc,b112f279a582a0c7a3587ff9fc3e5afc,True,6c581b5a3ec71771ce8b3197e6ec3172810d621a7c3a2bbef4801993ccd4ad6b,True,14861,15844,16154,True,PASS,,False,True
GW250109_074552,20348006,IGWN-GWTC5p0-29ebe06b7_25-GW250109_074552-combined_PEDataRelease.hdf5,170071532,170071532,True,1a07a34fd480bf6ccc3b852ab0857d8c,1a07a34fd480bf6ccc3b852ab0857d8c,True,27092a7a03629e31307292f524fbbce404a4289b3eb2ad03576d2d28af2a662a,True,15817,14922,18018,True,PASS,,False,True
GW250118_023225,20348006,IGWN-GWTC5p0-29ebe06b7_25-GW250118_023225-combined_PEDataRelease.hdf5,248098780,248098780,True,6f7247404942702c1db5e0af80a6f67c,6f7247404942702c1db5e0af80a6f67c,True,87b3056a9311600e85635404ad372c03795c643d2b049378bf3e2d773c0abccf,True,16696,16499,16413,True,PASS,,False,True
GW250118_170523,20348006,IGWN-GWTC5p0-29ebe06b7_25-GW250118_170523-combined_PEDataRelease.hdf5,248777060,248777060,True,5d1f1146004e7b437ebba33ec3f5fbf2,5d1f1146004e7b437ebba33ec3f5fbf2,True,4368e33388881d667ba807d00f1b3e77fa6fe70b58111a985e4f7bac3451f745,True,16711,17577,16436,True,PASS,,False,True
