event,model_a,model_b,parameter,finite_n_a,finite_n_b,raw_W1,scale,full_norm_W1,independent_W1_abs_diff,balanced_seed,balanced_n_each,balanced_q05,balanced_median,balanced_q95
GW230805_034249,SEOBNRv5PHM,NRSur7dq4,final_mass_source,14792,13842,0.3562380011489612,8.8580024243951,0.04021651655545671,5.551115123125783e-17,783814458,4000,0.023659049015320666,0.03991375667129056,0.06611646242682476
GW230805_034249,SEOBNRv5PHM,NRSur7dq4,final_spin,14792,13842,0.010246840277447622,0.08995422832301342,0.11391171341776854,1.734723475976807e-18,677584211,4000,0.09348619296800778,0.11381548247820303,0.13621687395787374
GW230806_204041,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,chirp_mass_source,13190,13934,0.1482198605628967,7.0452495754117805,0.02103826968460994,2.7755575615628914e-17,710027487,4000,0.014345489657112432,0.023877546935730416,0.04041323183503743
GW230806_204041,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,chi_eff,13190,13934,0.012737354976211623,0.21969558820410828,0.05797729066993361,1.734723475976807e-18,501007794,4000,0.03919054373325611,0.05872941956388733,0.07817906193471304
GW230806_204041,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,luminosity_distance,13190,13934,41.79727967145194,2784.8596690053996,0.015008756145468418,0.0,60773232,4000,0.014363501580893702,0.02394488182558696,0.03912533522898017
GW230806_204041,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,final_mass_source,13190,13934,0.29856911375330997,14.985673239668884,0.019923636995030795,0.0,159215587,4000,0.015507715780308778,0.025325023688641674,0.043109615752244826
GW230806_204041,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,final_spin,13190,13934,0.004876644528242183,0.0919007789650999,0.053064234962514625,8.673617379884035e-19,195880000,4000,0.04105195958547825,0.058113449879631865,0.08243987386049972
GW230806_204041,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,13190,14470,0.14028001681626656,7.175544314281286,0.019549738761569787,0.0,487114076,4000,0.01591308158272986,0.026523231952941984,0.0409772650800943
GW230806_204041,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,13190,14470,0.015268321796833512,0.21622587369031,0.07061283433037066,0.0,95040276,4000,0.05524796051166363,0.07016826910323129,0.08995617008443813
GW230806_204041,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,13190,14470,26.63384519951093,2779.0243549517763,0.009583883333751172,3.552713678800501e-15,762706724,4000,0.012445373494259861,0.01848192081611058,0.030995699295330137
