event,predictor,parameter_maximum_S90_json
GW230814_061920,0.11986829224714053,"{""chi_eff"": 0.09236314402558594, ""chirp_mass_source"": 0.1268452809388534, ""final_mass_source"": 0.13030001193690455, ""final_spin"": 0.06939591738942653, ""luminosity_distance"": 0.11986829224714053}"
GW230814_230901,0.10244942703968238,"{""chi_eff"": 0.05255766631112755, ""chirp_mass_source"": 0.10327772427666773, ""final_mass_source"": 0.10244942703968238, ""final_spin"": 0.06188841890821744, ""luminosity_distance"": 0.12693381838097423}"
GW230824_033047,0.02977564685806173,"{""chi_eff"": 0.03370598399686171, ""chirp_mass_source"": 0.02977564685806173, ""final_mass_source"": 0.025304802357180512, ""final_spin"": 0.08063887447142476, ""luminosity_distance"": 0.029449341826917722}"
GW230825_041334,0.19901315810581455,"{""chi_eff"": 0.08308434191646759, ""chirp_mass_source"": 0.21852208903296536, ""final_mass_source"": 0.26193408584331607, ""final_spin"": 0.19901315810581455, ""luminosity_distance"": 0.19282941432944675}"
GW230914_111401,0.07675048250308837,"{""chi_eff"": 0.10028311744887837, ""chirp_mass_source"": 0.07154600554877734, ""final_mass_source"": 0.07675048250308837, ""final_spin"": 0.05985417287230193, ""luminosity_distance"": 0.08113320950604497}"
GW230920_071124,0.05689386724293371,"{""chi_eff"": 0.04868255094303511, ""chirp_mass_source"": 0.08064016118652534, ""final_mass_source"": 0.05689386724293371, ""final_spin"": 0.04104446543615388, ""luminosity_distance"": 0.07623869851085237}"
GW230922_020344,0.16180623242053727,"{""chi_eff"": 0.11539637007195454, ""chirp_mass_source"": 0.16180623242053727, ""final_mass_source"": 0.217735744675455, ""final_spin"": 0.24114944366221885, ""luminosity_distance"": 0.12205310270713145}"
GW230922_040658,0.06709783859826399,"{""chi_eff"": 0.06249958817345082, ""chirp_mass_source"": 0.09268427475713627, ""final_mass_source"": 0.046032249431377834, ""final_spin"": 0.1089966674490996, ""luminosity_distance"": 0.06709783859826399}"
GW230924_124453,0.02583546138689332,"{""chi_eff"": 0.0237899199090855, ""chirp_mass_source"": 0.03710838373535452, ""final_mass_source"": 0.02583546138689332, ""final_spin"": 0.038425171187145966, ""luminosity_distance"": 0.025294656716257094}"
GW230927_043729,0.05688767414851914,"{""chi_eff"": 0.04634285984043938, ""chirp_mass_source"": 0.05688767414851914, ""final_mass_source"": 0.06634555677085574, ""final_spin"": 0.08493547669240614, ""luminosity_distance"": 0.05053480011339259}"
GW230928_215827,0.19922577110394904,"{""chi_eff"": 0.09896269593695003, ""chirp_mass_source"": 0.1980211339444765, ""final_mass_source"": 0.19922577110394904, ""final_spin"": 0.19953626680676598, ""luminosity_distance"": 0.2566824536344624}"
GW230930_110730,0.023854907497680083,"{""chi_eff"": 0.03240688902375976, ""chirp_mass_source"": 0.012825095469227716, ""final_mass_source"": 0.023854907497680083, ""final_spin"": 0.06520513016437139, ""luminosity_distance"": 0.00987884030855665}"
GW231005_091549,0.04829269919721429,"{""chi_eff"": 0.011152521562723536, ""chirp_mass_source"": 0.04899163899207814, ""final_mass_source"": 0.04829269919721429, ""final_spin"": 0.04170952955659726, ""luminosity_distance"": 0.0646368826489704}"
GW231008_142521,0.06898086506209188,"{""chi_eff"": 0.06898086506209188, ""chirp_mass_source"": 0.05080475301254169, ""final_mass_source"": 0.0850616716648878, ""final_spin"": 0.07618288987767616, ""luminosity_distance"": 0.024421005385844973}"
GW231028_153006,0.4104373908612955,"{""chi_eff"": 0.6061694538358774, ""chirp_mass_source"": 0.32850442647266465, ""final_mass_source"": 0.4104373908612955, ""final_spin"": 0.6377901344107045, ""luminosity_distance"": 0.27041978763139163}"
GW231029_111508,0.053791917810496824,"{""chi_eff"": 0.07976372154684001, ""chirp_mass_source"": 0.07384141637724971, ""final_mass_source"": 0.053791917810496824, ""final_spin"": 0.05248058145987236, ""luminosity_distance"": 0.05236438199851932}"
GW231102_071736,0.07758976364127514,"{""chi_eff"": 0.02575837547833918, ""chirp_mass_source"": 0.07758976364127514, ""final_mass_source"": 0.06797105141465008, ""final_spin"": 0.10224815420278716, ""luminosity_distance"": 0.07876478487408135}"
GW231118_071402,0.052873091418812926,"{""chi_eff"": 0.07994153155430234, ""chirp_mass_source"": 0.052873091418812926, ""final_mass_source"": 0.04967412471833725, ""final_spin"": 0.12441408344766201, ""luminosity_distance"": 0.014457514686254424}"
GW231119_075248,0.02340538841947595,"{""chi_eff"": 0.02650410543240586, ""chirp_mass_source"": 0.010121943794640589, ""final_mass_source"": 0.02340538841947595, ""final_spin"": 0.05652109343807266, ""luminosity_distance"": 0.009466222547767007}"
GW231123_135430,1.8148762009655421,"{""chi_eff"": 1.8850732572545243, ""chirp_mass_source"": 0.23966405959591178, ""final_mass_source"": 0.3204369439851097, ""final_spin"": 2.309995759210427, ""luminosity_distance"": 1.8148762009655421}"
GW231127_165300,0.017818038426800548,"{""chi_eff"": 0.014661811701276773, ""chirp_mass_source"": 0.03416889512118317, ""final_mass_source"": 0.01538996400242878, ""final_spin"": 0.0567036241235809, ""luminosity_distance"": 0.017818038426800548}"
GW231129_081745,0.024276764958498585,"{""chi_eff"": 0.007869265328191209, ""chirp_mass_source"": 0.029593403115397064, ""final_mass_source"": 0.07495646380059759, ""final_spin"": 0.024276764958498585, ""luminosity_distance"": 0.023402013573728845}"
GW231206_233134,0.12579593741900913,"{""chi_eff"": 0.050699560563482106, ""chirp_mass_source"": 0.1845228061429672, ""final_mass_source"": 0.17628684756127086, ""final_spin"": 0.047077113760032825, ""luminosity_distance"": 0.12579593741900913}"
GW231206_233901,0.2077333904622347,"{""chi_eff"": 0.29308885827773096, ""chirp_mass_source"": 0.2077333904622347, ""final_mass_source"": 0.18572605933200495, ""final_spin"": 0.2707028202568666, ""luminosity_distance"": 0.051994085492065904}"
GW231213_111417,0.05575090599247493,"{""chi_eff"": 0.09848398913399362, ""chirp_mass_source"": 0.00995745042911652, ""final_mass_source"": 0.02489024090121818, ""final_spin"": 0.16716271898398982, ""luminosity_distance"": 0.05575090599247493}"
GW231223_032836,0.04710617499647686,"{""chi_eff"": 0.06545959278122428, ""chirp_mass_source"": 0.018179774515363154, ""final_mass_source"": 0.04710617499647686, ""final_spin"": 0.08874508291238019, ""luminosity_distance"": 0.02771416096398133}"
GW231226_101520,0.12256000505079064,"{""chi_eff"": 0.33971531384985487, ""chirp_mass_source"": 0.02265807005096604, ""final_mass_source"": 0.03685896348993906, ""final_spin"": 0.1680462409225205, ""luminosity_distance"": 0.12256000505079064}"
GW240104_164932,0.15435440089706018,"{""chi_eff"": 0.2422427211346122, ""chirp_mass_source"": 0.15339569288128238, ""final_mass_source"": 0.15435440089706018, ""final_spin"": 0.3423647664339546, ""luminosity_distance"": 0.09581806303318352}"
