endpoint_id,pair_id,event_id,role,target_id,key_exact,key_canonical,line_number,section,declaration_scope,inherited_into_sections,inherited_reference_count,value_text,value_text_truncated,value_sha256
PAIR00540:BASE,PAIR00540,GW230928_215827,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00540:BASE,PAIR00540,GW230928_215827,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00540:VARIANT,PAIR00540,GW230928_215827,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00540:VARIANT,PAIR00540,GW230928_215827,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,3,2,0)]",false,8075378dd5a2edf48eebd53e80d9db914f017e62321215bc792b03c8bc4b9705
PAIR00583:BASE,PAIR00583,GW231001_140220,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00583:BASE,PAIR00583,GW231001_140220,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00583:VARIANT,PAIR00583,GW231001_140220,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00583:VARIANT,PAIR00583,GW231001_140220,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00621:BASE,PAIR00621,GW231028_153006,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00621:BASE,PAIR00621,GW231028_153006,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
